,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Scotland,S12000011,East Renfrewshire,13978.0,14124.0,14463.0,15462.0,15927.0,16111.0,16285.0,16980.0,17604.0,18173.0,18947.0,19888.0,19538.0,19506.0,19532.0,20076.0,20918.0,21334.0,22415.0,22359.0,22419.0,23168.0,23685.0
51,Scotland,S12000038,Renfrewshire,9672.0,9847.0,10355.0,11146.0,11862.0,11993.0,12275.0,12510.0,13032.0,13621.0,14205.0,14877.0,15197.0,15197.0,15356.0,15788.0,16418.0,16698.0,17631.0,17645.0,17929.0,18601.0,19259.0
52,Scotland,S12000018,Inverclyde,8557.0,8737.0,9160.0,9879.0,10487.0,10661.0,10939.0,11292.0,11769.0,12258.0,12794.0,13471.0,13749.0,14000.0,14194.0,14686.0,15176.0,15502.0,16468.0,16458.0,16711.0,17412.0,17982.0
53,Scotland,S12000050,North Lanarkshire,8804.0,8990.0,9341.0,10025.0,10430.0,10822.0,11103.0,11486.0,11963.0,12146.0,12964.0,13521.0,13570.0,13747.0,14006.0,14370.0,14841.0,15515.0,15926.0,16280.0,16436.0,16967.0,17391.0
54,Scotland,S12000026,Scottish Borders,9588.0,9961.0,10179.0,10954.0,11320.0,11776.0,12657.0,13382.0,13923.0,14525.0,15146.0,15793.0,16036.0,16522.0,16831.0,16814.0,17525.0,18395.0,18872.0,19156.0,19365.0,19671.0,20421.0
55,Scotland,S12000006,Dumfries and Galloway,9368.0,9570.0,9752.0,10269.0,10534.0,11017.0,11409.0,11991.0,12146.0,12783.0,13590.0,14388.0,14881.0,15145.0,15326.0,15859.0,16257.0,16615.0,17284.0,17675.0,17748.0,18135.0,18806.0
56,Scotland,S12000008,East Ayrshire,8576.0,8644.0,8825.0,9601.0,10216.0,10807.0,11143.0,11765.0,12190.0,12623.0,13418.0,13615.0,13749.0,14305.0,14498.0,14769.0,15457.0,15729.0,16205.0,16335.0,16530.0,17215.0,17306.0
57,Scotland,S12000028,South Ayrshire,9609.0,9787.0,10212.0,10774.0,11403.0,11881.0,12561.0,13259.0,13600.0,14343.0,14715.0,15423.0,15668.0,16212.0,16637.0,17240.0,17709.0,17979.0,18373.0,18464.0,18474.0,18995.0,19428.0
58,Scotland,S12000029,South Lanarkshire,9724.0,10011.0,10408.0,11080.0,11276.0,12042.0,12124.0,12787.0,13446.0,13716.0,14480.0,14966.0,15033.0,15457.0,15807.0,16225.0,16509.0,16711.0,17501.0,17587.0,18034.0,18852.0,19360.0
61,Wales,W06000001,Isle of Anglesey,9659.0,9940.0,10150.0,10667.0,10809.0,11089.0,11621.0,12318.0,12491.0,12570.0,13141.0,13950.0,14212.0,14509.0,14872.0,15358.0,15740.0,15983.0,16478.0,16476.0,16731.0,17392.0,17529.0
